,generalElectionVote,Vote
0,Conservative,Conservative
1,Liberal Democrat,Liberal Democrat
2,Labour,Labour
3,Labour,Labour
4,Conservative,Conservative
5,Brexit Party,Brexit Party
6,Conservative,Conservative
7,Labour,Labour
8,Labour,Labour
9,Labour,Labour
10,Liberal Democrat,Liberal Democrat
11,Brexit Party,Brexit Party
12,Labour,Labour
13,Conservative,Conservative
14,Labour,Labour
15,Brexit Party,Brexit Party
16,Conservative,Conservative
17,Conservative,Conservative
18,Conservative,Conservative
19,Conservative,Conservative
20,Labour,Labour
21,Conservative,Conservative
22,Conservative,Conservative
23,Conservative,Conservative
24,Conservative,Conservative
25,Conservative,Conservative
26,Labour,Labour
27,Green Party,Green Party
28,Conservative,Conservative
29,Conservative,Conservative
30,Labour,Labour
31,Labour,Labour
32,Liberal Democrat,Liberal Democrat
33,Conservative,Conservative
34,Labour,Labour
35,Conservative,Conservative
36,Liberal Democrat,Liberal Democrat
37,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
38,Labour,Labour
39,Conservative,Conservative
40,Labour,Labour
41,Green Party,Green Party
42,Labour,Labour
43,Liberal Democrat,Liberal Democrat
44,Liberal Democrat,Liberal Democrat
45,Green Party,Green Party
46,Conservative,Conservative
47,Conservative,Conservative
48,Liberal Democrat,Liberal Democrat
49,Liberal Democrat,Liberal Democrat
50,Green Party,Green Party
51,Brexit Party,Brexit Party
52,Liberal Democrat,Liberal Democrat
53,Conservative,Conservative
54,Conservative,Conservative
55,Conservative,Conservative
56,Conservative,Conservative
57,Conservative,Conservative
58,Labour,Labour
59,Conservative,Conservative
60,Liberal Democrat,Liberal Democrat
61,Liberal Democrat,Liberal Democrat
62,Conservative,Conservative
63,Conservative,Conservative
64,Liberal Democrat,Liberal Democrat
65,Conservative,Conservative
66,Labour,Labour
67,Labour,Labour
68,Labour,Labour
69,Labour,Labour
70,Labour,Labour
71,Conservative,Conservative
72,Conservative,Conservative
73,Labour,Labour
74,Labour,Labour
75,Liberal Democrat,Liberal Democrat
76,Labour,Labour
77,Conservative,Conservative
78,Labour,Labour
79,Liberal Democrat,Liberal Democrat
80,Liberal Democrat,Liberal Democrat
81,Conservative,Conservative
82,Labour,Labour
83,Conservative,Conservative
84,Conservative,Conservative
85,Conservative,Conservative
86,Conservative,Conservative
87,Brexit Party,Brexit Party
88,Conservative,Conservative
89,Conservative,Conservative
90,Labour,Labour
91,Liberal Democrat,Liberal Democrat
92,Liberal Democrat,Liberal Democrat
93,Conservative,Conservative
94,Labour,Labour
95,Labour,Labour
96,Conservative,Conservative
97,Labour,Labour
98,Conservative,Conservative
99,Conservative,Conservative
100,Conservative,Conservative
101,Conservative,Conservative
102,Conservative,Conservative
103,Conservative,Conservative
104,Conservative,Conservative
105,Brexit Party,Brexit Party
106,Brexit Party,Brexit Party
107,Liberal Democrat,Liberal Democrat
108,Conservative,Conservative
109,Liberal Democrat,Liberal Democrat
110,Labour,Labour
111,Conservative,Conservative
112,Green Party,Green Party
113,Liberal Democrat,Liberal Democrat
114,Liberal Democrat,Liberal Democrat
115,Liberal Democrat,Liberal Democrat
116,Green Party,Green Party
117,Conservative,Conservative
118,Labour,Labour
119,Liberal Democrat,Liberal Democrat
120,Liberal Democrat,Liberal Democrat
121,Liberal Democrat,Liberal Democrat
122,Labour,Labour
123,Conservative,Conservative
124,Brexit Party,Brexit Party
125,Conservative,Conservative
126,Liberal Democrat,Liberal Democrat
127,Conservative,Conservative
128,Brexit Party,Brexit Party
129,Conservative,Conservative
130,Conservative,Conservative
131,Liberal Democrat,Liberal Democrat
132,Liberal Democrat,Liberal Democrat
133,Labour,Labour
134,Conservative,Conservative
135,Liberal Democrat,Liberal Democrat
136,Labour,Labour
137,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
138,Conservative,Conservative
139,Brexit Party,Brexit Party
140,Conservative,Conservative
141,Liberal Democrat,Liberal Democrat
142,Labour,Labour
143,Conservative,Conservative
144,Labour,Labour
145,Conservative,Conservative
146,Conservative,Conservative
147,Conservative,Conservative
148,Green Party,Green Party
149,Brexit Party,Brexit Party
150,Conservative,Conservative
151,Conservative,Conservative
152,Labour,Labour
153,Liberal Democrat,Liberal Democrat
154,Conservative,Conservative
155,Green Party,Green Party
156,Brexit Party,Brexit Party
157,Labour,Labour
158,Conservative,Conservative
159,Brexit Party,Brexit Party
