,changeeconomy,econpersonalretro,changeimmig,controlimmig,effectseunhs,effectseuunemployment,effectseuimmigration,effectseuecon,happyeuleave
0,-2.0,-0.5,1.0,0.5,-1,2,1,-1,1
1,1.0,1.0,1.0,1.0,3,1,1,1,1
2,-0.5,1.0,1.0,1.0,-1,2,1,-1,2
3,-0.5,1.0,1.0,1.0,-1,1,-1,-1,1
4,6.0,1.0,1.0,1.0,1,-1,-1,1,1
5,1.0,1.0,1.0,1.0,1,1,-1,-1,1
6,-0.5,1.0,1.0,2.0,1,1,-1,1,1
7,-2.0,-0.5,1.0,1.0,-1,1,1,1,2
8,1.0,1.0,1.0,1.0,1,1,-1,-1,1
9,1.0,1.0,2.0,2.0,3,-1,-1,3,2
10,-0.5,-0.5,-2.0,1.0,3,1,1,3,2
11,1.0,1.0,-0.5,2.0,3,1,-1,1,2
12,-0.5,1.0,-0.5,1.0,-1,1,1,-1,1
13,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
14,1.0,1.0,1.0,1.0,1,1,1,1,1
15,-2.0,1.0,1.0,1.0,1,1,-1,-1,1
16,-2.0,1.0,1.0,1.0,-2,1,-1,-2,2
17,-0.5,1.5,1.0,2.0,3,1,1,-1,2
18,-0.5,1.0,0.5,0.5,1,1,1,-1,1
19,1.5,1.5,2.0,2.0,6,1,-1,6,2
20,-2.0,-2.0,1.0,1.0,-1,1,1,-1,1
21,1.0,1.0,0.5,1.0,1,1,-1,1,2
22,1.0,1.0,0.5,2.0,3,1,-1,1,1
23,-0.5,1.0,1.0,2.0,1,-1,-1,3,1
24,-0.5,-0.5,1.0,1.0,1,1,-1,1,2
25,-2.0,-0.5,1.0,1.0,-2,2,1,-2,1
26,-0.5,1.0,1.0,1.0,-1,1,-1,-1,2
27,1.0,1.0,1.0,2.0,1,1,-1,1,1
28,1.0,-0.5,1.0,2.0,1,1,1,1,1
29,1.5,1.5,-2.0,2.0,1,1,-1,3,1
30,1.0,1.0,-0.5,2.0,1,1,-1,-1,2
31,1.0,1.0,1.0,2.0,3,1,1,1,1
32,1.0,1.0,1.0,1.0,1,1,1,1,1
33,1.0,1.0,0.5,1.0,3,1,-1,3,2
34,1.0,1.0,1.0,1.0,1,1,1,1,1
35,-0.5,1.5,0.5,2.0,3,-1,-1,1,1
36,1.0,1.0,1.0,1.0,1,1,1,1,1
37,1.0,1.0,0.5,2.0,1,1,-1,1,2
38,1.5,1.0,1.0,2.0,1,1,1,1,1
39,1.5,1.0,2.0,2.0,1,1,-1,1,2
40,1.0,1.0,1.0,2.0,1,1,-1,3,2
41,1.0,1.0,1.0,1.0,1,1,-1,3,2
42,-0.5,-0.5,-2.0,1.0,1,1,-1,-1,2
43,1.0,1.0,1.0,1.0,1,1,-1,3,1
44,1.0,-2.0,2.0,1.0,1,-2,-2,1,1
45,1.0,1.0,-0.5,1.0,1,1,-1,3,2
46,1.0,1.0,1.0,1.0,3,-1,-1,3,2
47,1.0,1.0,1.0,2.0,1,1,1,1,2
48,-2.0,-0.5,1.0,0.5,-2,2,1,-1,2
49,-0.5,-0.5,-0.5,1.0,-1,1,-1,-1,2
50,-0.5,-0.5,1.0,2.0,-1,1,-1,-1,2
51,-0.5,1.5,0.5,2.0,1,1,-1,1,1
52,1.0,1.5,0.5,2.0,3,1,-1,1,1
53,1.0,1.0,1.0,1.0,1,1,1,1,1
54,1.0,1.0,1.0,2.0,1,1,1,1,1
55,-2.0,1.0,1.0,1.0,1,1,1,-2,2
56,-0.5,1.0,2.0,2.0,1,-1,-1,1,1
57,-2.0,-2.0,1.0,1.0,-2,2,1,-2,2
58,-0.5,-0.5,-0.5,1.0,-1,1,1,-1,1
59,-0.5,1.0,1.0,1.0,-1,2,1,-2,2
60,-0.5,1.0,1.0,1.0,-1,1,1,-2,2
61,1.0,-2.0,1.0,1.0,-1,1,1,1,2
62,1.0,1.0,1.0,1.0,1,1,1,1,1
63,-2.0,1.0,0.5,1.0,1,1,1,-1,1
64,-0.5,-0.5,1.0,2.0,-1,1,-1,-1,2
65,1.0,1.0,1.0,2.0,1,1,1,3,2
66,1.0,-0.5,2.0,2.0,1,1,1,3,2
67,1.0,1.0,1.0,1.0,-1,1,1,-1,2
68,1.0,1.0,0.5,0.5,1,1,1,-1,1
69,-0.5,1.0,1.0,0.5,-2,1,-1,1,2
70,-2.0,1.0,1.0,0.5,-1,2,1,-2,2
71,-2.0,1.0,-0.5,2.0,-1,1,-1,-2,1
72,-0.5,1.5,1.0,1.0,-2,1,1,-2,2
73,-2.0,-0.5,-0.5,1.0,-2,1,1,-1,2
74,-0.5,6.0,-0.5,1.0,1,1,-1,-1,1
75,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
76,-2.0,1.0,1.0,1.0,-1,1,1,-2,2
77,-0.5,1.5,1.0,2.0,1,1,-1,1,2
78,-0.5,1.0,1.0,1.0,-1,1,-1,-1,1
79,-0.5,-0.5,1.0,0.5,1,1,1,-1,1
80,-2.0,1.0,1.0,0.5,-1,2,1,-2,1
81,-0.5,-0.5,-0.5,1.0,-1,2,-1,-2,2
82,-0.5,1.0,1.0,1.0,1,1,1,-1,1
83,1.0,1.0,1.0,1.0,-1,-1,1,1,2
84,-2.0,-0.5,1.0,1.0,1,1,1,-2,2
85,1.0,1.0,1.0,0.5,-1,1,1,-1,2
86,1.0,1.0,1.0,2.0,-1,1,-1,3,1
87,-0.5,1.0,2.0,2.0,1,1,1,1,1
88,-0.5,1.0,1.0,2.0,-1,1,1,-1,2
89,-2.0,-2.0,2.0,2.0,6,1,-1,3,2
90,-2.0,1.0,1.0,1.0,-2,1,-1,-2,2
91,1.0,1.0,1.0,1.0,1,1,1,1,2
92,-0.5,1.0,1.0,0.5,-2,1,1,-1,1
93,-0.5,1.0,-0.5,2.0,-1,1,1,-1,1
94,-0.5,-0.5,-0.5,0.5,-2,1,1,-2,2
95,-2.0,-2.0,1.0,1.0,-1,-2,1,-2,2
96,-0.5,-0.5,1.0,2.0,-1,1,-1,-1,1
97,1.0,1.0,1.0,2.0,1,1,1,1,1
98,-0.5,1.5,1.0,2.0,-2,1,1,-1,1
99,-0.5,1.5,0.5,0.5,-1,1,1,-2,2
100,-0.5,1.5,1.0,0.5,-1,1,1,-1,1
101,-0.5,1.5,1.0,1.0,-1,1,-1,-1,1
102,6.0,-0.5,-0.5,2.0,6,1,-1,6,2
103,-0.5,-2.0,1.0,2.0,-1,1,-1,1,2
104,1.5,1.0,0.5,2.0,1,1,-2,1,1
105,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
106,-0.5,1.5,-0.5,1.0,1,1,1,-1,1
107,-0.5,1.0,0.5,1.0,-1,1,1,-1,1
108,1.0,1.5,1.0,2.0,1,1,1,1,1
109,-0.5,1.5,1.0,1.0,-1,1,1,-1,1
110,-2.0,1.5,0.5,1.0,1,-1,1,-1,1
111,-0.5,1.0,1.0,1.0,1,1,1,1,1
112,1.0,1.0,1.0,1.0,1,1,1,1,2
113,-0.5,1.0,1.0,2.0,1,1,1,1,1
114,-0.5,1.0,-2.0,1.0,-1,1,-2,-1,2
115,-0.5,-0.5,0.5,0.5,-2,2,1,-2,1
116,-2.0,1.0,1.0,0.5,-2,1,1,-2,2
117,-2.0,-0.5,1.0,1.0,-2,2,1,-2,2
118,1.0,1.0,1.0,1.0,1,1,1,1,1
119,-0.5,-0.5,0.5,1.0,3,1,1,3,1
120,1.0,1.0,-0.5,1.0,1,1,1,1,2
121,-0.5,1.5,2.0,1.0,-1,1,1,-1,1
122,-0.5,1.5,1.0,1.0,-2,1,-2,-2,2
123,-0.5,-0.5,-0.5,2.0,1,1,-2,1,1
124,1.0,1.5,1.0,1.0,3,1,1,3,1
125,-0.5,1.5,0.5,1.0,-1,1,1,1,1
126,-2.0,-2.0,2.0,2.0,3,1,1,-2,2
127,-0.5,-0.5,0.5,1.0,1,1,1,1,2
128,-0.5,1.0,0.5,2.0,-1,1,-1,-1,1
129,-0.5,-0.5,-0.5,1.0,1,1,-2,-1,2
130,1.0,1.0,2.0,1.0,1,1,2,3,1
131,-2.0,1.0,0.5,2.0,-2,-1,1,-1,2
132,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
133,-0.5,1.5,1.0,1.0,1,-1,1,-1,1
134,1.0,1.0,0.5,1.0,1,1,1,1,1
135,1.0,1.0,2.0,2.0,6,1,2,3,2
136,1.0,1.0,1.0,1.0,1,-1,-1,3,1
137,-2.0,1.0,-0.5,1.0,-2,2,1,-2,2
138,-0.5,-2.0,-0.5,1.0,-1,1,-1,-1,1
139,-0.5,1.5,1.0,1.0,-2,1,1,-1,2
140,1.5,1.5,0.5,1.0,1,1,1,3,2
141,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
142,-0.5,1.0,1.0,1.0,1,1,1,1,1
143,-0.5,1.0,0.5,1.0,-1,1,1,-1,1
144,1.0,-0.5,0.5,1.0,3,1,-2,3,2
145,1.5,1.5,1.0,2.0,1,1,1,1,1
146,1.0,-0.5,1.0,1.0,1,1,-2,1,1
147,1.0,1.0,1.0,1.0,1,1,1,1,1
148,-0.5,1.0,1.0,1.0,-2,1,1,-1,2
149,1.0,1.0,1.0,0.5,1,1,1,1,1
150,1.5,1.0,2.0,1.0,6,-1,-2,3,2
151,-2.0,-0.5,1.0,1.0,-2,1,1,-2,2
152,-0.5,1.5,0.5,2.0,1,1,-1,-1,2
153,1.0,1.0,0.5,2.0,3,-1,-1,3,2
154,1.0,1.0,1.0,1.0,1,1,1,1,2
155,1.0,1.0,1.0,2.0,1,1,-1,1,1
156,1.5,1.5,1.0,1.0,1,1,-1,3,2
157,1.0,1.0,1.0,1.0,1,1,1,1,1
158,-0.5,-0.5,1.0,1.0,1,1,-1,-1,1
159,-0.5,1.0,-0.5,2.0,-1,1,-1,-1,1
160,1.0,1.5,1.0,1.0,1,1,1,1,1
161,-0.5,-2.0,1.0,0.5,-2,1,1,-1,2
162,-0.5,1.0,1.0,0.5,-1,2,1,-2,2
163,-0.5,-0.5,1.0,1.0,-1,1,1,1,2
164,-0.5,1.0,0.5,2.0,1,1,1,-1,1
165,1.0,-2.0,2.0,2.0,1,1,-1,1,2
166,-2.0,-0.5,1.0,1.0,-2,2,1,-2,1
167,-0.5,-0.5,1.0,2.0,-1,1,-1,-2,1
168,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
169,1.0,1.0,1.0,1.0,3,1,1,1,1
170,-0.5,1.0,1.0,1.0,-1,1,-1,-1,2
171,1.0,1.0,-0.5,2.0,1,1,-1,1,2
172,1.0,1.0,-0.5,1.0,1,-1,1,1,2
173,1.0,1.0,-0.5,1.0,6,1,1,3,2
174,-0.5,1.0,-0.5,1.0,1,1,-1,1,1
175,1.0,1.0,0.5,1.0,1,-2,1,1,1
176,-0.5,1.0,0.5,1.0,3,1,1,1,1
177,1.0,1.5,1.0,1.0,-1,1,1,1,1
178,1.5,1.0,-0.5,1.0,3,-1,-2,6,2
179,6.0,1.0,1.0,1.0,6,1,-1,3,2
180,1.0,1.0,0.5,1.0,3,1,-2,6,2
181,-0.5,-0.5,1.0,1.0,-2,2,2,-2,2
182,1.0,1.0,2.0,1.0,1,1,1,1,2
183,-0.5,1.0,1.0,1.0,-1,1,1,-2,2
184,1.0,1.0,1.0,1.0,-1,1,1,1,2
185,1.0,1.0,1.0,2.0,1,1,-1,-1,1
186,-0.5,-2.0,1.0,1.0,-1,1,1,-1,2
187,1.0,1.0,1.0,2.0,3,1,-1,1,2
188,-0.5,1.0,1.0,1.0,-2,1,1,-1,2
189,-0.5,1.0,1.0,1.0,-1,1,-1,-1,1
190,-2.0,-0.5,-0.5,0.5,-1,2,1,-2,2
191,-2.0,-0.5,1.0,1.0,-1,-1,1,-1,2
192,-0.5,1.0,1.0,1.0,-2,1,-1,-1,2
193,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
194,1.0,1.0,1.0,1.0,-1,1,1,1,1
195,1.0,1.0,0.5,2.0,1,1,-1,1,1
196,-2.0,-0.5,-0.5,1.0,-2,1,1,-1,2
197,-0.5,-0.5,1.0,1.0,-1,-1,1,-1,1
198,-0.5,1.0,1.0,0.5,-2,2,1,-2,1
199,-0.5,1.5,-0.5,2.0,-2,1,-1,-2,2
200,-0.5,6.0,1.0,0.5,-1,1,1,-1,1
201,1.0,1.0,1.0,1.0,3,1,1,3,2
202,1.0,-0.5,1.0,1.0,1,1,1,1,1
203,1.0,1.0,1.0,1.0,1,1,1,1,2
204,-2.0,-0.5,1.0,2.0,-1,1,2,-2,2
205,-0.5,-0.5,1.0,1.0,1,-1,1,-2,1
206,1.0,1.0,0.5,1.0,1,1,1,1,1
207,-0.5,1.0,1.0,1.0,1,1,1,-1,1
208,1.0,6.0,1.0,1.0,-1,1,-1,-1,1
209,1.0,1.0,0.5,1.0,3,1,-1,3,2
210,-0.5,1.5,1.0,1.0,-1,1,1,-1,2
211,-0.5,1.5,-0.5,2.0,-2,-2,-1,-1,1
212,-0.5,1.5,1.0,1.0,-1,1,1,-1,2
213,1.0,1.0,2.0,2.0,1,1,-1,1,1
214,-2.0,1.0,1.0,2.0,-1,1,1,-1,1
215,1.0,1.0,0.5,1.0,3,1,-1,3,2
216,-2.0,-2.0,1.0,1.0,1,1,1,1,2
217,1.5,1.0,-0.5,0.5,1,1,1,1,1
218,-0.5,1.0,1.0,1.0,-1,1,1,-1,2
219,1.0,1.0,1.0,0.5,1,1,-2,1,1
220,-0.5,-0.5,1.0,1.0,1,1,-1,3,1
221,-0.5,-2.0,2.0,1.0,6,1,-1,1,2
222,1.0,-0.5,1.0,1.0,-1,1,1,-2,1
223,1.0,1.0,1.0,1.0,1,1,1,1,1
224,1.0,1.0,1.0,2.0,3,1,-1,3,1
225,1.5,1.0,0.5,2.0,1,-1,-1,-1,2
226,-0.5,1.0,1.0,1.0,1,1,1,-1,2
227,-2.0,-0.5,1.0,1.0,-2,1,1,-2,2
228,1.0,1.0,1.0,2.0,1,1,1,1,1
229,-0.5,-0.5,1.0,0.5,1,1,-1,-1,1
230,1.5,1.0,2.0,1.0,6,1,-2,3,2
231,-2.0,1.5,1.0,1.0,-2,1,1,-1,2
232,1.0,1.0,-0.5,2.0,1,1,-1,1,1
233,1.5,1.0,-0.5,2.0,3,1,-1,3,1
234,1.5,1.0,1.0,1.0,3,-1,1,3,2
235,-0.5,-0.5,0.5,1.0,-1,1,1,-1,1
236,-2.0,1.0,1.0,1.0,1,1,1,1,2
237,1.0,-0.5,1.0,2.0,3,-1,1,1,1
238,1.0,1.0,1.0,1.0,1,-1,-1,1,1
239,-2.0,-0.5,1.0,1.0,-2,2,2,-2,2
240,-0.5,1.0,-0.5,1.0,-1,1,-1,-1,1
241,1.0,1.0,1.0,1.0,1,1,1,1,1
242,1.5,1.0,1.0,1.0,1,-1,-1,1,2
243,-0.5,-0.5,-0.5,1.0,-1,1,1,-1,1
244,1.0,1.0,2.0,1.0,3,-1,-1,3,2
245,1.0,1.0,0.5,2.0,1,1,-1,1,1
246,1.0,1.0,1.0,1.0,1,1,1,1,1
247,1.0,-0.5,1.0,2.0,1,1,1,1,1
248,1.0,1.0,0.5,0.5,1,1,1,1,1
249,1.0,1.0,0.5,1.0,1,1,1,1,2
250,-0.5,1.0,-0.5,1.0,-1,1,1,-1,1
251,-0.5,-2.0,1.0,1.0,1,1,1,1,2
252,-0.5,1.5,1.0,0.5,-1,1,1,-1,1
253,1.0,1.0,0.5,2.0,3,1,-1,1,1
254,1.0,1.0,-0.5,1.0,3,1,-1,1,1
255,-0.5,6.0,-0.5,1.0,-1,1,-2,-2,1
256,1.0,1.0,1.0,1.0,1,1,1,3,1
257,1.0,1.0,1.0,2.0,3,1,-1,1,1
258,-0.5,-0.5,1.0,1.0,1,1,-1,-1,1
259,1.0,1.0,-0.5,1.0,-1,1,-1,1,1
260,1.0,1.0,1.0,2.0,1,1,-1,1,2
261,-2.0,-0.5,1.0,1.0,-2,1,1,-1,1
262,1.0,1.0,0.5,1.0,3,1,-1,3,1
263,-2.0,-0.5,1.0,0.5,-2,2,1,-2,2
264,1.0,1.5,-0.5,1.0,1,-1,-1,3,2
